011121992;ЦЕНТР ЭКОЛОГИЧЕСКОГО СОПРОВОЖДЕНИЯ, ООО (они же Ассоциация по сносу зданий);165
011191533;ЭКОТЕХ - МОСКВА, ООО;20
011156738;АГЕНТСТВО ЭНЕРГЕТИЧЕСКОЕ МИНЭНЕРГО РОССИИ ФГБОУ ( МОСКВА );2835
011122320;НОВЫЙ ДИСК ПИТЕР, ООО;2310
011140318;ЕВРОКОМПЛЕКС СК, ООО;356
011182818;АПЕЛЬСИН, ООО;180
011114764;БЮРО МСЭ ПО ЛЕН. ОБЛ, ГЛАВНОЕ, ФГУ;900
011118706;БАРС, ЗАО;40
011112352;ИНФОСЕРВИСТЕЛЕКОМ, ООО;265
011160785;ТД СЕВЕРО-ЗАПАДНЫЙ, ООО (Москва);2350
011203872;КОДЕКС-ЛАЙН, ООО;1200
000016245;СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ПЕТРОДВОРЦОВОГО Р-НА ГУЗ;485
011203346;ГИДРОИСОЛ, ООО;285
011145600;МОНТАЖСТРОЙ, ООО (они же Промэнергострой);449
011151577;ИНИГСВЕБ (они же Всеинструменты.ру);950
011139829;БЕЛЫЙ МИР, ООО (они же Агама Аст Топ Групп);10
011120094;АКВЕЛ, ООО ( они же Спектрум,ООО, ЗИГЕР);5
000034975;ДОВЕРИЕ, ООО;720
011127351;ИРИДА-СТРОЙ, ООО;288
011117477;МАЛЫШ ДЕТСКИЙ ОЗДОРОВИТЕЛЬНЫЙ ГОРОДОК МОСКОВСКОГО Р-НА СПБ КОМБИНИРОВАННОГО ТИПА ГДОУ;30
011138181;ГИМНАЗИЯ №343 НЕВСКОГО РАЙОНА СПБ ГОУ;225
011127298;ИРБИС-КОНСАЛТ, ООО;255
000002628;ЭНЕРГОГАРАНТ, САК, С-З РЕГ. ФИЛИАЛ, ОАО (они же СК Трансарктик);4050
000007947;ШКОЛА ДЕТСКАЯ ХУДОЖЕСТВЕННАЯ ИМ. И.П.САУТОВА;1477
011155203;ТД СЕВЕРО-ЗАПАДНЫЙ, ООО (они же Гермес 220);29920
011113054;ПЛЕМХОЗ ИМЕНИ ТЕЛЬМАНА,ЗАО;820
011121324;БАНК СОВЕТСКИЙ, ЗАО;180
011153893;НЕБО-СЕРВИС, ЗАО;80
011175483;РУСТТЕКС, ООО;87
011121061;ФИРМА КАРМЕНТ,  ООО (они же Гала);190
011120328;КОМПАНИЯ ПРОИЗВОДСТВЕННАЯ ГЕНЕРАЛЬНАЯ , ООО ТЕРРА ( они же Терра, компания);4855
772175201;РТФ, ООО;179
011117443;ШКОЛА №430 ПЕТРОДВОРЦОВОГО РАЙОНА СПБ, ГОУ СОШ;825
011139348;ИП ШАДЕНКОВ ИГОРЬ СЕМЕНОВИЧ (они же Север-Метрополь);30
011160055;РОССОЙЛ ЛОГИСТИКА, ООО (они же Россойл Севернефть);10
011125398;ВАЙТ НАЙТС ОЙЛ ЭНД ГАЗ, ЗАО;6192
011162398;МЕТАЛАПОШУК, ООО;105
011164074;БИЗНЕСУСЛУГИ, ООО;150
011125602;МУРАНО, ООО (они же Авант);210
000035237;ИП ВЕТОШКИНА;550
011129306;БАЛТИНВЕСТ, ООО;610
011119832;ШИК-АВТО СПБ, ООО;120
011138814;МОАР, ООО;160
011133571;БРИГАДИР ТЕХНОЛОДЖИС;500
011131553;НОТАРИУС АКУЛЕНКО А.И.;230
011175256;ФЕЛИЦИЯ-ВОЯЖ, ООО;288
011182886;КЛАССИК-2000, ООО;10
011129627;МДВ ГРУП, ЗАО;40
011133588;ЗАВОД КЕРАМИЧЕСКИЙ ГЛЕБЫЧЕВСКИЙ, ОАО;160
011155500;ИНСТИТУТ ВЫСОКИХ ТЕМПЕРАТУР РАН (МОСКВА);90
000037921;ИНСТИТУТ ИМИТАЦИОННЫХ ТЕХНОЛОГИЙ, ООО;30
011186310;ЛЕЕР, ООО;10
011149517;МЕБЕЛЬНЫЙ ДОМ (они же Вимис);1129
011124664;МЕДИАЛИНК, ООО(они же Медиалинк Пиар Баинг ТВ);220
000001638;АЛЬВЕРС, ООО ( они же Техсервис);439
011118758;САЛОН ТУ-104 , ООО;335
011142435;НОВЫЙ ГОРОД, ЗАО (они же ИВИ-93);255
011203235;ФАВОРИТ СТРОЙ, ООО(они же СИБЛАЙН);30
011176007;АЛЕКСТЕЛ, ООО;475
000014994;ДОМ МОЛОДЕЖИ КОЛПИНЕЦ СПБ ГУ;478
011149963;МОНТАЖ-ТЕПЛО, ООО;300
011155636;ИСТВОРД КАПИТАЛ, ООО;6294
011118096;МОНОЛИТСТРОЙСЕРВИС, ООО (они же Премиум);105
011119926;ПЕТРОЭНЕРГОТЕХНИКА, ООО;10
011132093;АУДИТ-ЦЕНТР ГРУПП, ООО ( они же Аудит-Центр);300
011143090;КОСМО, ООО;469
011122259;Н ЛОГИСТИК, ООО (он же СКС логистик);20
011113079;ДОМА, ООО ( Они же Дома ИК, Дома ИП Ачакова А.А. Альфа);135
011111456;ИНСТИТУТ ИМ. ВАВИЛОВА С.И. НПК ГОИ, ФГУП;12927
011203401;ТД БРИОЛЕТ, ООО;135
000011150;РЕСУРС, ООО(они же Энергия Альтернатива Теплюлюкс-Электро Теплолюкс Гудвил Теплолюкс-Регион );350
011152022;ЦЕНТР ПРАВОВАЯ ПЛАНЕТА ЮРИДИЧЕСКИЙ, ООО;20
011152837;ОРИГИНАЛЬНЫЕ ЗАПЧАСТИ ЯПОНИИ, ООО;10
772175967;ОМЕЛЬЧЕНКО ЕЛЕНА (они же матрикс телеком);200
011115871;ПРОФРОСТ, ООО;275
011134095;КЛИНИКА ЮРИАННА, ЗУБНАЯ;10
011120600;УНР-427, ХОЛДИНГОВАЯ КОМПАНИЯ, ООО ( они же УНР-427 Приморский, УНР-427 Проект);192
011119759;ИНСТИТУТ ГЕМАТОЛОГИИ И ТРАНСФУЗИОЛОГИИ;45
011164709;ЦЕНТР ЛАБОРАТОРНОГО АНАЛИЗА И ТЕХНИЧ. ИЗМЕРЕНИЙ ПО ЦЕНТРАЛЬНОМУ ФО, ФБУ (МОСКВА);3150
011135856;САН СИТИ ИНЖИНИРИНГ, ООО;180
000014537;ДЕТСКИЙ САД №4 ПЕТРОГРАДСКОГО Р-НА, КОМПЕНСИРУЮЩЕГО ВИДА СПБ, ГБДОУ;375
